"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GOType"
"GO:0009579","GO:0009579","thylakoid","30/4485","55/17306",5.79800798639547e-06,0.000752813144040223,0.000657360759748042,"Os01g0501800/Os01g0805300/Os01g0934400/Os01g0938100/Os02g0578400/Os03g0279950/Os03g0343900/Os03g0731100/Os03g0765900/Os03g0778100/Os04g0434900/Os04g0523000/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0148900/Os07g0275100/Os07g0435300/Os07g0544800/Os07g0556200/Os07g0673550/Os08g0119800/Os08g0504500/Os08g0560900/Os09g0481200/Os12g0189400/Os12g0190200/Os12g0420400/Os12g0564400",30,"CC"
"GO:0009521","GO:0009521","photosystem","28/4485","50/17306",5.99070234149956e-06,0.000752813144040223,0.000657360759748042,"Os01g0501800/Os01g0805300/Os01g0934400/Os01g0938100/Os02g0578400/Os03g0279950/Os03g0343900/Os03g0731100/Os03g0778100/Os04g0434900/Os04g0523000/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0148900/Os07g0275100/Os07g0435300/Os07g0544800/Os07g0673550/Os08g0119800/Os08g0504500/Os08g0560900/Os09g0481200/Os12g0189400/Os12g0190200/Os12g0420400/Os12g0564400",28,"CC"
"GO:0034357","GO:0034357","photosynthetic membrane","29/4485","54/17306",1.2394102574996e-05,0.00109014502446479,0.00095192089456854,"Os01g0501800/Os01g0805300/Os01g0934400/Os01g0938100/Os02g0578400/Os03g0279950/Os03g0343900/Os03g0731100/Os03g0778100/Os04g0434900/Os04g0523000/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0148900/Os07g0275100/Os07g0435300/Os07g0544800/Os07g0556200/Os07g0673550/Os08g0119800/Os08g0504500/Os08g0560900/Os09g0481200/Os12g0189400/Os12g0190200/Os12g0420400/Os12g0564400",29,"CC"
"GO:1990204","GO:1990204","oxidoreductase complex","25/4485","47/17306",6.03651116340766e-05,0.00383653820607687,0.00335008718951688,"Os01g0501800/Os01g0801600/Os01g0805300/Os01g0934400/Os01g0938100/Os02g0170100/Os02g0578400/Os03g0279950/Os04g0224900/Os04g0225001/Os04g0434900/Os04g0523000/Os05g0495700/Os06g0105400/Os06g0168600/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0275100/Os07g0544800/Os08g0504500/Os10g0516100/Os12g0190200/Os12g0564400",25,"CC"
"GO:0042651","GO:0042651","thylakoid membrane","20/4485","35/17306",8.73908542890863e-05,0.00499875686533574,0.00436494319580752,"Os01g0501800/Os01g0805300/Os01g0934400/Os01g0938100/Os02g0578400/Os03g0279950/Os03g0731100/Os04g0434900/Os04g0523000/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0275100/Os07g0544800/Os07g0556200/Os08g0504500/Os12g0189400/Os12g0190200/Os12g0564400",20,"CC"
"GO:0009654","GO:0009654","photosystem II oxygen evolving complex","17/4485","28/17306",0.00010570114780353,0.00525748317770601,0.00459086449727917,"Os01g0501800/Os01g0805300/Os01g0934400/Os01g0938100/Os02g0578400/Os03g0279950/Os04g0434900/Os04g0523000/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0275100/Os07g0544800/Os08g0504500/Os12g0190200/Os12g0564400",17,"CC"
"GO:0009523","GO:0009523","photosystem II","20/4485","38/17306",0.00039254971921587,0.0179630751513182,0.0156854603594047,"Os01g0501800/Os01g0805300/Os01g0934400/Os01g0938100/Os02g0578400/Os03g0279950/Os03g0343900/Os04g0434900/Os04g0523000/Os07g0105600/Os07g0141400/Os07g0147500/Os07g0147550/Os07g0275100/Os07g0544800/Os07g0673550/Os08g0119800/Os08g0504500/Os12g0190200/Os12g0564400",20,"CC"
