,aligned_reads_sorted_SRR15838464.bam,aligned_reads_sorted_SRR15838465.bam,aligned_reads_sorted_SRR15838468.bam,aligned_reads_sorted_SRR15838469.bam
Os01g0740300,3,1,4,5
Os01g0740350,18,22,66,66
Os01g0740400,35,26,42,35
Os01g0740500,2117,2585,3053,3766
Os01g0740650,194,266,305,670
Os01g0740600,143,199,133,279
Os01g0740651,7,19,9,31
Os01g0740700,21,77,22,152
Os01g0740800,0,0,0,0
Os01g0741200,1128,853,1399,1127
Os01g0741250,24,27,71,76
Os01g0741300,0,0,0,0
Os01g0741900,4983,6818,5644,13995
Os01g0742000,1245,521,1228,451
Os01g0742100,0,0,0,0
Os01g0742150,0,0,0,0
Os01g0742200,10,2,9,4
Os01g0742250,0,0,0,0
Os01g0742300,56,40,43,47
Os01g0742350,19,15,14,24
Os01g0742400,3065,1851,4296,2482
Os01g0742500,5868,5028,6742,6860
Os01g0742766,67,82,77,127
Os01g0743100,135,93,168,202
Os01g0743150,0,0,0,0
Os01g0743200,279,126,334,174
Os01g0743300,2480,2583,4265,4503
Os01g0743400,2653,1174,3730,1331
Os01g0743500,103,747,108,1797
Os01g0743600,1352,1835,1793,2554
Os01g0743666,6,4,11,4
Os01g0743732,11,23,20,18
Os01g0743800,744,838,893,1334
Os01g0744000,5341,4180,5875,5043
Os01g0744101,0,0,0,0
Os01g0744200,48,80,74,141
Os01g0744300,3360,3306,4118,4910
Os01g0744350,5,6,2,7
Os01g0744400,205,163,211,185
Os01g0744550,3,2,1,1
Os01g0744700,0,3,9,7
Os01g0745000,13,0,8,7
Os01g0745200,0,0,0,0
Os01g0745300,622,405,690,613
Os01g0745400,0,0,0,2
Os01g0745700,174,221,238,373
Os01g0745850,0,0,1,0
Os01g0746000,0,0,0,1
Os01g0746200,3692,3622,3853,4406
Os01g0746400,64,7,30,34
Os01g0746700,5148,2277,5096,3068
Os01g0747300,1582,3540,4446,6440
Os01g0747400,1902,1709,2708,2455
Os01g0747451,0,0,0,0
Os01g0747500,1583,975,1683,1039
Os01g0747600,100,72,115,77
Os01g0747700,1516,873,1777,1012
Os01g0747750,1,0,4,0
Os01g0747800,2464,2419,3902,4154
Os01g0748000,902,606,1033,625
Os01g0748100,105,75,136,108
Os01g0748150,0,2,0,0
Os01g0748200,292,161,426,318
Os01g0748300,0,3,3,7
Os01g0748500,266,37,346,103
Os01g0748600,3812,4387,6373,6392
Os01g0748800,0,0,0,0
Os01g0748900,5102,5281,6152,6531
Os01g0748950,86,43,87,111
Os01g0749000,3,4,2,10
Os01g0749100,1720,1218,2065,1705
Os01g0749200,12846,6068,16782,6744
Os01g0749300,1098,1216,1271,1614
Os01g0749400,6862,6637,11168,11430
Os01g0749900,2641,2410,3114,3359
Os01g0749950,0,0,0,0
Os01g0750000,567,467,634,743
Os01g0750050,0,0,0,0
Os01g0750100,5747,8147,8647,13624
Os01g0750300,14097,5972,18086,8428
Os01g0750400,58,10,44,17
Os01g0750500,1010,873,2368,2056
Os01g0750600,161,211,324,334
Os01g0750666,2,3,4,1
Os01g0750800,5710,4884,7007,6783
Os01g0750900,497,548,704,984
Os01g0751300,1768,1608,2160,2283
Os01g0751400,24,23,19,24
Os01g0751600,629,494,724,649
Os01g0752100,772,859,816,1159
Os01g0752200,4609,4095,5165,5448
Os01g0752300,214,134,152,130
Os01g0752350,0,1,0,0
Os01g0752400,1267,945,1660,1441
Os01g0752500,143,214,124,287
Os01g0752600,633,632,679,926
Os01g0752700,6044,5288,5620,5103
Os01g0752800,9850,8594,11410,10912
Os01g0753000,3641,3581,4700,6023
Os01g0753100,1026,1281,1081,1421
Os01g0753150,44,31,25,30
Os01g0753175,0,0,0,0
Os01g0753200,2694,2076,3226,2671
Os01g0753300,7,22,20,56
Os01g0753400,2,9,2,3
Os01g0753500,2309,1141,2674,1422
Os01g0753800,3158,2182,5100,3613
Os01g0754000,274,166,326,143
Os01g0754100,2625,1929,3177,2606
Os01g0754200,4355,4385,4960,6702
Os01g0754300,0,2,4,6
Os01g0754500,3919,4684,4606,6979
Os01g0754700,208,148,146,111
Os01g0754800,94,79,179,165
Os01g0755100,2454,2780,2793,3807
Os01g0755500,494,1193,951,2925
Os01g0755550,39,75,64,174
Os01g0755600,4,25,14,77
Os01g0755700,556,806,716,1640
Os01g0756000,15,19,30,30
Os01g0756101,4,1,5,6
Os01g0756200,886,472,1433,382
Os01g0756300,371,1708,732,633
Os01g0756400,2515,2915,3365,4034
Os01g0756501,921,1138,1395,1703
Os01g0756600,6680,4170,8291,5128
Os01g0756700,11,0,10,8
Os01g0756900,2527,1064,3178,926
Os01g0757051,138,140,232,121
Os01g0757200,775,1801,972,1740
Os01g0757301,0,0,0,0
Os01g0757400,2313,1015,2345,1086
Os01g0757500,297,228,435,393
Os01g0757600,1524,800,2156,1566
Os01g0757700,2307,1628,2720,2337
Os01g0757800,1729,1908,2215,2637
Os01g0757900,232,233,461,248
Os01g0758000,39,34,41,23
Os01g0758200,525,1108,693,2568
Os01g0758300,2,1,0,0
Os01g0758350,1,0,1,2
Os01g0758400,1,5,11,6
Os01g0758450,1,1,1,2
Os01g0758500,287,435,552,707
Os01g0758900,39,19,52,23
Os01g0758950,2,6,2,0
Os01g0759000,103,94,117,105
Os01g0759100,8,6,12,12
Os01g0759200,0,0,4,4
Os01g0759400,149,138,150,197
Os01g0759550,0,0,0,0
Os01g0759700,2096,2020,2249,2558
Os01g0759800,170,52,189,45
Os01g0759900,33,9,34,11
Os01g0760000,631,900,1486,3120
Os01g0760150,0,0,1,0
Os01g0760300,22,16,22,42
Os01g0760400,829,584,1009,832
Os01g0760600,4321,6787,4608,9173
Os01g0760701,0,2,1,3
Os01g0760800,0,6,4,5
Os01g0760900,315,184,327,254
Os01g0761000,4226,2009,6174,2321
Os01g0761100,1328,1091,1500,1585
Os01g0761300,4692,4102,5661,4985
Os01g0761400,3,1,2,1
Os01g0761500,12,3,28,5
Os01g0761600,0,0,0,0
Os01g0761701,0,0,0,0
Os01g0761800,0,0,0,0
Os01g0761900,10,0,3,0
Os01g0762000,2402,4059,3176,6805
Os01g0762300,2318,1055,5044,1923
Os01g0762400,694,585,626,641
Os01g0762500,96,131,103,256
Os01g0762601,0,0,0,0
Os01g0762900,555,484,925,1074
Os01g0763000,2275,1501,2142,1352
Os01g0763100,792,677,833,637
Os01g0763200,1433,893,2459,1227
Os01g0763300,2419,2400,3560,4518
Os01g0763600,4464,5598,5456,7406
Os01g0763700,1174,729,2102,1034
Os01g0763750,3097,2346,3605,2561
Os01g0763800,0,0,0,2
Os01g0763850,0,0,0,0
Os01g0763900,200,160,268,346
Os01g0764000,815,885,925,1033
Os01g0764050,10,6,17,17
Os01g0764150,0,0,0,0
Os01g0764200,0,0,0,0
Os01g0764300,679,524,704,511
Os01g0764400,3417,2593,3472,3268
Os01g0764500,1378,752,1789,955
Os01g0764600,2089,1283,2635,1730
Os01g0764700,116,79,77,73
Os01g0764750,19,13,15,13
Os01g0764800,353,954,247,515
Os01g0764850,0,0,0,0
Os01g0764900,2034,1421,1913,1518
Os01g0764950,131,139,159,131
Os01g0765000,338,183,344,237
Os01g0765200,796,854,964,1226
Os01g0765300,1818,2175,2266,3599
Os01g0765400,183,340,285,502
Os01g0765500,584,364,662,263
Os01g0765600,653,338,855,764
Os01g0765900,0,0,0,6
Os01g0766000,0,0,2,2
Os01g0766101,0,0,0,0
Os01g0766200,1270,1885,1594,2712
Os01g0766300,37,48,63,78
Os01g0766400,204,163,292,172
Os01g0766600,2013,2584,2530,3600
Os01g0766900,2213,1796,2834,2507
Os01g0766966,2,2,0,1
Os01g0767000,14075,10966,17622,13367
Os01g0767100,2269,2312,2870,3251
Os01g0767600,829,2990,842,4750
Os01g0767700,4855,4854,5205,6020
Os01g0767900,2434,3059,3105,4428
Os01g0767966,34,30,42,45
Os01g0768100,110,113,354,150
Os01g0768200,2544,3186,3749,4472
Os01g0768300,91,168,189,227
Os01g0768333,734,407,1056,340
Os01g0768600,471,565,713,1162
Os01g0768700,1114,946,1084,984
Os01g0769000,8511,13143,10305,22419
Os01g0769100,482,450,628,601
Os01g0769200,79,40,86,66
Os01g0769366,1,0,0,1
Os01g0769700,4536,3333,6854,3821
Os01g0769900,6730,3447,7411,3341
Os01g0770000,1657,1403,2229,1896
Os01g0770100,436,408,697,472
Os01g0770200,169,176,218,225
Os01g0770400,1848,2326,2224,3764
Os01g0770500,675,567,778,730
Os01g0770700,723,789,1796,1846
Os01g0770800,2,0,0,0
Os01g0771000,157,216,239,422
Os01g0771100,501,334,401,205
Os01g0771200,1146,1238,1401,1841
Os01g0771300,22,29,45,77
Os01g0771350,651,630,714,869
Os01g0771400,0,1,1,0
Os01g0771900,383,339,494,474
Os01g0771950,1,0,0,1
Os01g0772000,1481,1413,1732,2315
Os01g0772100,4,5,7,2
Os01g0772150,127,172,183,255
Os01g0772200,1999,2463,2187,3535
Os01g0772400,1124,3240,1665,5893
Os01g0772500,52,165,63,325
Os01g0772600,5663,5388,6293,7352
Os01g0772650,0,1,2,2
Os01g0772700,6588,5415,7501,6977
Os01g0772800,7452,7262,7357,8967
Os01g0772900,4,9,4,20
Os01g0773000,444,254,428,240
Os01g0773100,4052,2835,3989,3524
Os01g0773200,1719,1487,1900,2034
Os01g0773350,7,10,20,36
Os01g0773400,73,69,107,113
Os01g0773500,36,26,42,31
Os01g0773600,2472,2319,2705,3201
Os01g0773700,14783,5821,31303,12443
Os01g0773800,267,378,606,851
Os01g0774001,0,0,0,0
Os01g0774100,0,0,0,0
Os01g0774200,0,0,0,0
Os01g0774400,24,19,19,22
Os01g0774500,4,2,14,2
Os01g0775100,3692,2764,4805,3444
Os01g0775150,2,0,1,0
Os01g0775200,3590,3862,4326,6602
Os01g0775300,2554,2868,3014,4414
Os01g0775350,0,0,0,1
Os01g0775400,823,360,1633,734
Os01g0775500,509,341,489,345
Os01g0775600,1747,1806,2382,2271
Os01g0775750,0,0,0,0
Os01g0776300,2,0,0,0
Os01g0776400,1710,1341,1886,1837
Os01g0776500,288,123,258,51
Os01g0776600,1832,1981,2494,3241
Os01g0776700,5024,6856,8472,7620
Os01g0776800,618,448,663,786
Os01g0777000,4287,3604,4815,4441
Os01g0777101,887,800,1099,1069
Os01g0777200,5403,5887,7888,7349
Os01g0777300,521,168,549,189
Os01g0777400,118,79,130,106
Os01g0777450,3,1,5,4
Os01g0777500,11,8,10,15
Os01g0777600,75,45,76,66
Os01g0777650,25,14,26,20
Os01g0777700,1259,1084,1770,1311
Os01g0777800,707,928,799,1456
Os01g0777900,268,334,425,669
Os01g0778100,41,20,48,59
Os01g0778400,118,41,172,39
Os01g0778500,192,63,176,76
Os01g0778700,4502,3738,5522,5309
Os01g0778800,9013,9587,11005,11760
Os01g0778900,6,19,9,17
Os01g0779100,116,154,196,129
Os01g0779201,6,0,7,4
Os01g0779300,325,353,525,725
Os01g0779400,10355,9992,10844,12798
Os01g0779800,192,79,297,156
Os01g0780400,4371,3785,5271,5500
Os01g0780500,4546,5600,4795,7169
Os01g0780600,9,14,5,34
Os01g0780701,0,0,0,0
Os01g0780800,1554,2378,1900,4788
Os01g0780900,0,0,0,0
Os01g0781000,1269,2155,1978,4046
Os01g0781100,516,540,695,828
Os01g0781200,1605,1666,1817,2313
Os01g0781600,0,0,1,2
Os01g0781700,19,20,25,53
Os01g0782100,442,426,521,646
Os01g0782200,1301,1394,1977,2276
Os01g0781833,2,0,1,5
Os01g0782300,0,3,11,6
Os01g0782400,0,0,0,0
Os01g0782500,3718,2789,4329,3807
Os01g0782850,0,0,0,0
Os01g0782800,12,40,17,121
Os01g0782901,0,6,4,13
Os01g0783000,0,5,0,12
Os01g0783100,1147,790,1892,994
Os01g0783200,2568,6045,4429,11125
Os01g0783400,46,45,39,105
Os01g0783500,2392,7657,3162,14992
Os01g0783600,815,1046,1035,1579
Os01g0783700,170,192,369,267
Os01g0783800,39,26,63,58
Os01g0783851,0,0,0,0
Os01g0783900,32,70,43,107
Os01g0784000,0,0,0,0
Os01g0784200,30,34,35,33
Os01g0784101,0,0,0,0
Os01g0784450,24,8,29,20
Os01g0784500,80,77,120,54
Os01g0784600,1318,858,1564,1380
Os01g0784700,73,24,122,33
Os01g0784725,0,0,0,1
Os01g0784750,55,28,43,48
Os01g0784800,66,70,80,98
Os01g0784833,9,5,3,8
Os01g0784900,329,284,461,474
Os01g0785300,0,0,0,0
Os01g0785400,121,324,187,366
Os01g0785500,0,0,0,0
Os01g0785600,0,3,3,2
Os01g0785700,939,711,963,659
Os01g0785900,167,86,276,234
Os01g0786000,47,26,63,25
Os01g0786500,315,175,321,282
Os01g0786601,0,0,0,0
Os01g0786700,3,0,4,1
Os01g0786800,645,408,929,869
Os01g0786900,3676,5162,4923,8128
Os01g0787000,223,309,406,419
Os01g0787101,0,0,0,0
Os01g0787300,13,1,20,4
Os01g0787400,838,1114,1220,1717
Os01g0787600,2590,2792,3005,4596
Os01g0788200,48,113,67,158
Os01g0788001,0,0,0,0
Os01g0788400,238,231,351,465
Os01g0788451,15,12,14,11
Os01g0788500,1265,1269,1485,1831
Os01g0788700,439,336,759,594
Os01g0788800,3,6,6,3
Os01g0788850,0,0,0,0
Os01g0788900,151,134,173,148
Os01g0788950,1141,818,1267,896
Os01g0789000,246,188,277,267
Os01g0789100,638,456,600,500
Os01g0789200,0,2,0,1
Os01g0791151,0,0,0,0
Os01g0791033,119,311,226,523
Os01g0793100,4,3,4,2
Os01g0793200,1434,690,1185,708
Os01g0793300,119,30,290,104
Os01g0793701,2,3,3,11
Os01g0793500,2,0,1,2
Os01g0793550,1,3,2,1
Os01g0793600,4,6,4,3
Os01g0793800,213,543,366,1230
Os01g0793900,1426,1385,1963,1156
Os01g0794100,746,640,931,901
Os01g0794400,310,3731,465,7671
Os01g0794500,5701,6477,6682,8327
Os01g0794600,144,167,168,172
Os01g0794650,2,2,0,4
Os01g0794800,145,146,91,159
Os01g0794900,0,0,0,0
Os01g0795000,455,476,329,512
Os01g0795050,9,8,8,21
Os01g0795100,8,9,42,17
Os01g0795200,131,33,167,23
Os01g0795250,0,0,0,0
Os01g0795300,81,137,104,133
Os01g0795400,2391,3281,3082,6356
Os01g0795600,280,515,547,1050
Os01g0795700,57,98,76,234
Os01g0795766,174,249,228,309
Os01g0795832,70,121,137,317
Os01g0795900,32,77,11,127
Os01g0796000,2644,1711,2571,2081
Os01g0796400,3005,6360,3666,10451
Os01g0796500,1112,770,1184,934
Os01g0796700,875,1045,997,1363
Os01g0797600,5045,8230,7552,8607
Os01g0797700,0,0,0,0
Os01g0797800,147,107,297,223
Os01g0797900,2349,2746,3041,4888
Os01g0798100,1437,1763,2069,3448
Os01g0798200,0,0,0,0
Os01g0798500,3851,1667,5246,2125
Os01g0798800,360,246,633,350
Os01g0798900,204,77,261,111
Os01g0799000,50,37,84,56
Os01g0799050,0,0,0,0
Os01g0799100,1423,1165,2667,1388
Os01g0799500,4244,4841,6276,4054
Os01g0799600,0,0,0,0
Os01g0799900,6305,6092,7995,8714
Os01g0800000,0,0,0,0
Os01g0800101,0,2,2,6
Os01g0800200,0,0,0,0
Os01g0800266,2,3,6,7
Os01g0800250,11,15,14,12
Os01g0800300,989,1822,1521,3741
Os01g0800400,749,575,791,701
Os01g0800500,204,918,274,2051
Os01g0800600,0,0,0,0
Os01g0800701,0,0,0,0
Os01g0800800,6,17,5,18
Os01g0800900,2,11,12,4
Os01g0800950,0,0,0,0
Os01g0801000,181,87,154,102
Os01g0801100,187,204,240,234
Os01g0801150,3,0,0,2
Os01g0801200,583,949,826,1620
Os01g0801500,81,43,103,69
Os01g0801600,2259,3414,3206,5067
Os01g0801700,1983,1470,1771,1613
Os01g0801800,193,100,199,113
Os01g0801901,573,303,930,578
Os01g0802000,830,1067,1057,1679
Os01g0802100,3226,2386,4632,3037
Os01g0802200,55,66,80,123
Os01g0802400,0,0,0,0
Os01g0802600,4,68,7,300
Os01g0802700,75,39,45,59
Os01g0802900,98,42,107,89
Os01g0802850,0,0,0,0
Os01g0803200,18225,28920,20570,37305
Os01g0803300,2776,2936,2920,4403
Os01g0803800,79,4,21,12
Os01g0803900,944,383,509,774
Os01g0804100,6,2,0,3
Os01g0804200,1093,887,1289,821
Os01g0804150,0,0,0,2
Os01g0804400,464,415,655,624
Os01g0804900,132,126,184,240
Os01g0805000,5865,2188,7866,2654
Os01g0805100,312,208,319,334
Os01g0805200,14835,10773,24463,15427
Os01g0805300,4561,1682,6270,1891
Os01g0805400,388,484,565,1221
Os01g0805500,108,80,151,151
Os01g0805600,2673,1711,3791,1370
Os01g0805700,6331,8105,8377,11870
Os01g0805750,3,2,2,6
Os01g0805800,2205,1840,2774,2536
Os01g0805900,44356,23877,52818,28618
Os01g0805975,116,114,165,174
Os01g0806000,334,204,386,353
Os01g0806101,15,18,19,51
Os01g0806200,2728,2378,3673,4330
Os01g0806300,137,126,228,171
Os01g0806400,10,6,17,18
Os01g0806600,0,0,0,0
Os01g0806801,5,0,6,0
Os01g0807000,2,0,1,0
Os01g0807266,142,98,178,163
Os01g0807532,107,49,218,61
Os01g0807800,558,696,719,909
Os01g0807900,3277,3148,4580,4950
Os01g0808100,1211,1237,1756,2308
Os01g0808400,4,2,6,4
Os01g0808900,190,127,277,173
Os01g0808950,0,0,0,0
Os01g0809000,5,2,16,0
Os01g0809300,15386,12719,19459,17332
Os01g0809450,6,7,25,6
Os01g0809900,773,949,1126,1345
Os01g0810000,1901,1311,1791,1476
Os01g0810100,3121,1707,2672,1273
Os01g0810200,393,401,432,532
Os01g0810300,1785,2869,1822,4294
Os01g0810401,9,11,20,50
Os01g0810500,432,188,554,430
Os01g0810700,1,1,0,1
Os01g0810600,64,19,92,72
Os01g0810800,1694,560,2296,1449
Os01g0810833,14,4,11,6
Os01g0810866,14,19,46,62
Os01g0811001,495,253,502,380
Os01g0811100,9963,10935,11131,14627
Os01g0811300,1121,1224,1435,2010
Os01g0811400,812,684,917,867
Os01g0812000,85,81,106,129
Os01g0812025,0,0,0,0
Os01g0812050,2890,3483,3163,4146
Os01g0812100,4,23,23,42
Os01g0812200,2055,5678,4018,6492
Os01g0812600,0,2,3,0
Os01g0812800,415,226,256,165
Os01g0812850,2,12,2,8
Os01g0812900,1983,3467,2365,5494
Os01g0813000,459,459,770,681
Os01g0813100,323,526,430,561
Os01g0813300,9,48,11,62
Os01g0813350,7,10,9,28
Os01g0813400,9567,9287,10401,14498
Os01g0813500,2064,2021,2447,2996
Os01g0813700,1197,1021,1730,494
Os01g0813800,2601,1389,3430,1260
Os01g0813900,5736,7230,7982,11604
Os01g0814000,1551,1296,1595,1467
Os01g0814100,2960,483,4902,1292
Os01g0814150,10,8,9,12
Os01g0814200,502,235,521,413
Os01g0814300,298,247,275,264
Os01g0814400,6985,5688,8246,7479
Os01g0814550,0,1,1,0
Os01g0814700,1298,2013,1978,3437
Os01g0814800,1608,977,1671,1041
Os01g0814900,7885,6209,8256,6566
Os01g0815100,287,486,419,824
Os01g0815400,2396,2421,1709,3673
Os01g0815700,2942,3484,2771,3916
Os01g0815800,8952,5757,8698,6320
Os01g0815850,1,0,2,0
Os01g0815900,56,59,69,96
Os01g0816000,239,173,225,183
Os01g0816100,1060,894,1628,1393
Os01g0816400,20101,13280,21592,18801
Os01g0816450,0,0,0,0
Os01g0816500,7,4,6,5
Os01g0816525,0,4,6,0
Os01g0816550,50,42,69,61
Os01g0816600,619,511,580,652
Os01g0816700,0,0,0,2
Os01g0816850,0,0,0,0
Os01g0817000,610,411,920,630
Os01g0817100,1677,1155,1966,1197
Os01g0817400,2,2,6,1
Os01g0817633,9,13,18,18
Os01g0817650,0,0,0,0
Os01g0817700,30798,26235,26038,26783
Os01g0817800,277,417,404,786
Os01g0817900,3,1,5,2
Os01g0818000,5083,5120,5345,7575
Os01g0818200,170,143,177,147
Os01g0818100,1,0,0,0
Os01g0818300,1378,1009,1139,1105
Os01g0818400,1475,2114,1525,2882
Os01g0818600,2029,2117,2818,3486
Os01g0818650,0,2,0,1
Os01g0818700,2131,1962,2318,2995
Os01g0818800,5,2,2,0
Os01g0818900,0,1,2,0
Os01g0819000,2183,4194,2807,6846
Os01g0819100,2168,925,2368,1279
Os01g0819200,147,78,169,137
Os01g0819233,262,250,281,378
Os01g0819266,0,0,0,0
Os01g0819300,73,89,133,119
Os01g0819400,0,0,0,0
Os01g0819433,0,0,0,0
Os01g0819466,7261,7005,9471,9349
Os01g0819500,1953,1694,2386,2358
Os01g0819700,1081,894,1301,853
Os01g0819800,122,100,163,152
Os01g0819900,11940,11611,15979,17640
Os01g0820000,1,0,0,0
Os01g0820050,0,0,0,0
Os01g0820400,43,36,103,71
Os01g0820700,4,5,2,6
Os01g0820750,4,4,6,8
Os01g0820800,0,0,2,2
Os01g0821300,839,544,2197,692
Os01g0821600,2768,1717,4865,1518
Os01g0821700,4237,3733,5044,4282
Os01g0821800,5067,3575,4900,3803
Os01g0821900,1625,803,1943,1349
Os01g0822001,17,25,47,43
Os01g0822200,3830,4322,4408,6037
Os01g0822501,0,3,0,13
Os01g0822800,400,1009,423,1629
Os01g0822900,11416,9334,15305,11164
Os01g0823100,3976,725,4050,1131
Os01g0823150,5,1,1,0
Os01g0823200,753,470,749,485
Os01g0823300,7808,4137,7561,4396
Os01g0823400,280,260,397,298
Os01g0823500,644,345,857,1364
Os01g0823600,72,270,80,160
Os01g0823700,321,472,471,835
Os01g0823900,1877,2724,3440,4309
Os01g0823951,12,6,19,26
Os01g0824000,102,97,136,245
Os01g0824500,555,313,690,650
Os01g0824600,1165,1304,1328,1697
Os01g0824700,952,1106,1094,1781
Os01g0824800,1727,1606,2465,2790
Os01g0824900,54,24,129,57
Os01g0825000,121,129,98,136
Os01g0825166,0,0,0,0
Os01g0825332,0,0,0,0
Os01g0825500,859,781,1058,1711
Os01g0825700,2533,2648,3019,4014
Os01g0825800,1116,1666,1953,5578
Os01g0825900,548,437,584,613
Os01g0826000,428,775,354,1104
Os01g0826400,7505,3525,8338,4577
Os01g0826800,171,176,194,274
Os01g0826900,892,888,1255,1314
Os01g0827200,429,388,625,642
Os01g0827300,1153,1375,1838,3043
Os01g0827400,1265,466,1488,760
Os01g0827500,2071,2166,2772,3375
Os01g0827600,1522,1417,1503,1808
Os01g0827700,142,100,154,92
Os01g0827800,17,7,9,16
Os01g0828100,1528,1711,2270,3393
Os01g0828200,61,30,62,86
Os01g0828300,53,70,71,76
Os01g0828400,1,1,0,0
Os01g0828900,104,88,120,120
Os01g0829000,1024,496,1075,431
Os01g0829100,375,149,526,276
Os01g0829183,0,0,0,0
Os01g0829266,0,0,0,0
Os01g0829400,203,129,260,252
Os01g0829500,0,4,0,2
Os01g0829600,9,1,7,12
Os01g0829700,0,0,1,0
Os01g0829800,2697,1964,2374,2492
Os01g0829900,12,14,15,27
Os01g0830000,3512,3791,5267,5769
Os01g0830100,1781,1958,2592,2996
Os01g0830200,2455,2686,3035,4495
Os01g0830300,1475,1783,1922,2467
Os01g0830500,883,1684,1234,3251
Os01g0830700,3424,3658,4317,5891
Os01g0830900,0,0,0,5
Os01g0831000,2,0,4,0
Os01g0831200,4261,3194,5678,4858
Os01g0831250,218,216,295,307
Os01g0831300,17,13,12,13
Os01g0831800,0,0,0,0
Os01g0831900,1,0,5,5
Os01g0831950,0,0,0,0
Os01g0832000,1459,1415,1919,1872
Os01g0832100,193,36,264,118
Os01g0832200,2489,2834,3143,4221
Os01g0832300,2688,2063,3309,2830
Os01g0832450,0,0,0,0
Os01g0832600,196,669,137,1044
Os01g0832900,1702,965,2078,1093
Os01g0833000,360,201,434,222
Os01g0833100,1666,2104,2170,2953
Os01g0833150,209,468,714,1394
Os01g0833200,3720,5491,5583,8427
Os01g0833400,1481,4075,2083,5048
Os01g0833500,618,289,759,356
Os01g0833600,87,44,65,118
Os01g0833700,903,827,1014,1031
Os01g0833750,3,2,3,1
Os01g0833800,6173,4582,7550,6399
Os01g0834100,261,200,263,206
Os01g0834125,5,10,15,19
Os01g0834150,0,0,0,0
Os01g0834200,7648,6320,9010,8015
Os01g0834250,234,215,300,364
Os01g0834400,1254,1096,1381,1717
Os01g0834500,5083,3474,5090,5165
Os01g0834600,7198,5255,6304,5267
Os01g0834700,2273,2272,2600,2959
Os01g0834800,0,0,8,2
Os01g0834900,4130,1905,8682,3079
Os01g0835000,632,370,719,494
Os01g0835083,1,1,1,2
Os01g0835166,0,0,0,0
Os01g0835332,0,0,0,0
Os01g0835500,579,208,942,384
Os01g0835600,4930,5863,7092,9487
Os01g0835651,0,6,2,3
Os01g0835700,270,166,268,284
Os01g0835800,876,795,1188,1156
Os01g0835900,4518,2027,6539,3304
Os01g0836400,2975,2529,3612,3927
Os01g0836600,509,615,873,1418
Os01g0836700,0,16,3,49
Os01g0836800,11181,8083,13301,10818
Os01g0836900,131,176,145,180
Os01g0837000,3374,3077,3426,3491
Os01g0837100,0,2,0,0
Os01g0837200,63,46,53,20
Os01g0837300,1209,593,1076,772
Os01g0837350,9,9,19,8
Os01g0837500,4486,4331,5181,4911
Os01g0837600,910,1019,475,616
Os01g0837700,12,18,9,27
Os01g0837800,3386,5427,4601,7710
Os01g0837900,5441,4720,5954,6550
Os01g0838100,2,0,1,2
Os01g0838200,79,48,83,98
Os01g0838300,2,8,7,4
Os01g0838350,155,49,203,121
Os01g0838400,316,255,410,294
Os01g0838600,166,284,248,420
Os01g0838800,1433,1417,1650,1634
Os01g0838900,437,449,561,632
Os01g0839100,78,555,146,988
Os01g0839200,615,441,916,766
Os01g0839300,1603,1011,1330,986
Os01g0839400,47,33,43,21
Os01g0839500,8712,7115,10607,9768
Os01g0839700,143,113,141,140
Os01g0839801,4,2,5,7
Os01g0839900,2976,4479,5152,10176
Os01g0840100,1177,1234,1175,2572
Os01g0840200,6131,4132,6904,6919
Os01g0840300,0,0,0,0
Os01g0840700,2627,1517,2200,1234
Os01g0840900,117,109,211,253
Os01g0841000,2299,2127,2676,3430
Os01g0841050,44,39,44,36
Os01g0841100,524,301,714,514
Os01g0841200,2242,1904,2821,2800
Os01g0841400,8,7,11,4
Os01g0841450,0,0,0,0
Os01g0841500,2761,2845,3387,4360
Os01g0841600,2507,3682,2190,2288
Os01g0841650,2,10,4,2
Os01g0841700,4817,1709,5427,1847
Os01g0841800,3006,1569,3549,1930
Os01g0842200,8606,8851,9414,8593
Os01g0842400,1261,333,1295,438
Os01g0842500,1645,1515,1943,1892
Os01g0842600,373,324,361,366
Os01g0842801,43,24,45,37
Os01g0843300,405,283,324,273
Os01g0843366,0,0,0,0
Os01g0843432,26,34,23,36
Os01g0843500,358,223,622,366
Os01g0843700,27,13,53,40
Os01g0843800,420,753,354,1027
Os01g0844000,0,0,0,0
Os01g0844200,42,30,46,56
Os01g0844300,424,2312,715,5514
Os01g0844400,1567,1235,1923,1795
Os01g0844500,628,1110,1326,2433
Os01g0844700,12,9,49,42
Os01g0844800,4541,4850,5223,7293
Os01g0844850,2,1,2,3
Os01g0844900,200,232,408,309
Os01g0845100,357,805,503,676
Os01g0845000,123,253,274,366
Os01g0845950,35,130,9,160
Os01g0846000,20,22,0,0
Os01g0846300,596,2692,1037,5375
Os01g0846150,0,0,0,0
Os01g0846400,40,264,43,334
Os01g0846450,1584,1876,1749,2863
Os01g0846500,38,15,34,60
Os01g0846525,0,0,0,0
Os01g0846550,0,0,0,0
Os01g0846600,861,587,893,816
Os01g0846700,42,72,59,190
Os01g0846800,0,2,0,4
Os01g0846900,7,9,7,7
Os01g0847000,4,1,2,4
Os01g0847100,537,828,802,1021
Os01g0847200,1188,1105,1677,1821
Os01g0847250,0,0,1,0
Os01g0847300,548,544,832,739
Os01g0847600,368,263,559,289
Os01g0847700,2876,2399,2163,2302
Os01g0847800,1449,1140,1398,1305
