,aligned_reads_sorted_SRR15838464.bam,aligned_reads_sorted_SRR15838465.bam,aligned_reads_sorted_SRR15838468.bam,aligned_reads_sorted_SRR15838469.bam
Os01g0118066,832,674,742,842
Os01g0118100,3964,2988,4126,4303
Os01g0118300,580,700,684,1047
Os01g0118350,2,4,5,10
Os01g0118400,4941,4328,4609,4779
Os01g0118600,512,552,565,799
Os01g0118700,3093,4027,3814,7133
Os01g0119000,519,875,681,1763
Os01g0119050,350,133,287,201
Os01g0119100,2623,1144,2212,1997
Os01g0119500,2522,1852,2598,2529
Os01g0119800,12,24,16,45
Os01g0120300,6028,3631,7804,4288
Os01g0120400,1443,1272,1656,1520
Os01g0120500,909,707,1170,1019
Os01g0120600,524,725,644,994
Os01g0120700,5641,9100,7627,15436
Os01g0120800,19499,16559,18874,19232
Os01g0121000,29,32,45,93
Os01g0121100,3213,3828,4337,6648
Os01g0121200,755,496,861,819
Os01g0121300,247,294,237,365
Os01g0121400,1,4,4,9
Os01g0121500,660,2002,1473,1973
Os01g0121600,398,1500,697,2340
Os01g0121700,5552,4215,7300,5414
Os01g0121800,1416,1330,1724,1904
Os01g0121900,0,0,0,9
Os01g0121950,1,0,3,11
Os01g0122000,175,203,360,313
Os01g0122200,6,5,10,13
Os01g0122367,0,0,0,0
Os01g0122534,0,0,2,0
Os01g0122701,0,0,0,0
Os01g0123500,38,56,22,122
Os01g0123700,32,34,71,142
Os01g0123800,12,3,13,51
Os01g0123900,3564,1677,9981,7101
Os01g0124000,1260,1724,2939,7206
Os01g0124100,1027,2658,2409,8669
Os01g0124200,14409,54741,24423,152273
Os01g0124401,5641,31220,11141,120315
Os01g0124550,6,24,16,34
Os01g0124600,6,14,0,36
Os01g0124650,120,771,223,2260
Os01g0124700,0,5,9,28
Os01g0124900,0,4,0,6
Os01g0125000,4,4,0,4
Os01g0125500,0,0,0,0
Os01g0125550,118,165,191,239
Os01g0125600,3458,2027,4219,3065
Os01g0125700,280,361,401,703
Os01g0125800,430,579,528,930
Os01g0125850,0,0,0,1
Os01g0125900,5230,5060,5700,7306
Os01g0126000,0,0,0,3
Os01g0126100,167,153,172,334
Os01g0126200,203,39,432,109
Os01g0126401,13,6,19,4
Os01g0126600,162,104,232,138
Os01g0126900,970,348,1041,611
Os01g0127000,120,79,112,191
Os01g0127100,0,0,0,0
Os01g0127200,132,58,224,289
Os01g0127300,2177,1430,2388,1964
Os01g0127400,715,543,967,781
Os01g0127450,74,78,82,129
Os01g0127500,3,0,6,3
Os01g0127600,273,332,467,623
Os01g0127700,1522,2206,2317,2035
Os01g0127900,324,528,437,775
Os01g0128000,189,197,195,387
Os01g0128100,354,328,396,562
Os01g0128200,493,1506,546,2159
Os01g0128250,21,96,27,169
Os01g0128300,787,1466,1013,2608
Os01g0128400,10949,8501,11954,10910
Os01g0128700,304,336,299,430
Os01g0128800,5043,5198,5114,5933
Os01g0129200,1,0,14,4
Os01g0129500,424,392,472,896
Os01g0129550,0,0,0,1
Os01g0129600,118,89,78,153
Os01g0129800,34,30,31,85
Os01g0130000,2067,5938,2140,8920
Os01g0130100,0,3,0,4
Os01g0130200,223,161,419,459
Os01g0130400,1174,1141,1704,2503
Os01g0130500,4,5,16,10
Os01g0130900,330,1297,606,856
Os01g0131250,0,0,0,0
Os01g0131300,5748,6153,9364,11628
Os01g0131600,73,42,65,49
Os01g0131450,1297,1341,1669,1452
Os01g0131800,1047,843,1147,1094
Os01g0131900,41,23,33,53
Os01g0132000,14875,20751,24156,72647
Os01g0132050,4,6,14,11
Os01g0132100,0,0,0,0
Os01g0132200,43,31,53,37
Os01g0132400,0,5,2,2
Os01g0132500,203,245,261,412
Os01g0132700,414,412,568,601
Os01g0132766,601,482,443,881
Os01g0132800,1754,1313,1781,1368
Os01g0133100,611,859,772,1169
Os01g0133200,423,176,668,145
Os01g0133400,8218,9008,10542,14348
Os01g0133500,1920,2285,2503,3173
Os01g0133600,6,17,8,22
Os01g0133650,0,0,0,0
Os01g0133700,0,0,0,0
Os01g0133766,0,0,0,0
Os01g0133799,0,0,1,1
Os01g0133832,220,113,410,165
Os01g0133866,10,5,37,22
Os01g0133900,139,61,247,108
Os01g0134200,0,0,4,4
Os01g0134500,3252,2614,4499,3938
Os01g0134700,5903,6558,8587,5839
Os01g0134800,9,4,0,6
Os01g0134850,10,11,18,7
Os01g0134900,1062,636,1724,1436
Os01g0135000,2,0,2,16
Os01g0135600,131,128,266,278
Os01g0135700,4393,8440,6919,14858
Os01g0135800,38,25,52,71
Os01g0135900,5189,3846,9558,6747
Os01g0136000,0,0,0,2
Os01g0136050,0,1,0,0
Os01g0136100,45,86,32,51
Os01g0136200,7,26,14,11
Os01g0136300,359,117,408,281
Os01g0136400,3222,3752,4156,5474
Os01g0136450,102,101,130,187
Os01g0136500,456,393,504,696
Os01g0136502,2,2,2,1
Os01g0136600,3,6,6,5
Os01g0136700,118,98,163,149
Os01g0136800,73,100,91,106
Os01g0136850,0,2,1,2
Os01g0136900,17,24,12,17
Os01g0137066,0,0,0,0
Os01g0137232,18,26,25,22
Os01g0137400,4,0,5,3
Os01g0137125,3,8,4,1
Os01g0137150,20,6,22,23
Os01g0137200,94,88,156,102
Os01g0137250,1,1,4,2
Os01g0137266,0,0,0,0
Os01g0137282,3,4,5,2
Os01g0137300,1,2,5,2
Os01g0137500,0,0,0,1
Os01g0137550,0,0,0,0
Os01g0137700,161,94,227,104
Os01g0137750,0,0,0,0
Os01g0137800,377,167,516,263
Os01g0137875,366,214,678,247
Os01g0137950,63,30,70,27
Os01g0138000,5,5,16,5
Os01g0138100,28,26,20,32
Os01g0138232,0,0,2,0
Os01g0138300,38,14,34,33
Os01g0138350,1,0,0,0
Os01g0138400,440,620,278,658
Os01g0138451,0,0,0,0
Os01g0138500,551,781,438,1316
Os01g0138600,350,349,372,488
Os01g0138800,414,735,1532,2595
Os01g0138900,12155,9165,13540,14654
Os01g0139000,1590,1466,2268,2344
Os01g0139200,6954,8359,7827,12427
Os01g0139600,10,45,14,41
Os01g0139700,40,110,93,239
Os01g0139900,65,55,95,131
Os01g0140100,2150,813,3606,1933
Os01g0140400,1518,1197,1866,1800
Os01g0140500,4447,3904,5697,5846
Os01g0140700,119,101,136,70
Os01g0141000,1887,3156,2836,3448
Os01g0141100,2261,2589,3017,3883
Os01g0141150,0,2,1,3
Os01g0141300,0,1,2,4
Os01g0141450,0,0,0,0
Os01g0141600,2503,1385,2741,1489
Os01g0141700,1243,1014,1442,1000
Os01g0141900,2384,2372,2792,3619
Os01g0142100,6305,3258,8606,4085
Os01g0142200,1285,985,1322,947
Os01g0142300,1427,743,1895,1077
Os01g0142400,0,0,0,0
Os01g0142500,2181,2599,2703,4751
Os01g0142600,66,169,40,221
Os01g0142800,891,1041,947,1560
Os01g0142875,0,0,0,0
Os01g0142950,0,0,2,0
Os01g0143100,1079,1424,1145,1215
Os01g0143300,199,120,151,106
Os01g0143350,0,0,0,0
Os01g0143400,0,0,0,0
Os01g0143700,0,0,0,0
Os01g0143750,0,0,0,0
Os01g0143800,6952,4560,8119,5094
Os01g0143900,706,777,953,1089
Os01g0144000,4973,3516,5566,4426
Os01g0144100,1067,534,1781,770
Os01g0144200,34,36,51,42
Os01g0144300,2,4,5,2
Os01g0144340,1149,916,1427,1162
Os01g0144380,30,12,30,25
Os01g0144500,11,14,12,15
Os01g0144600,1201,1635,1494,2185
Os01g0144700,549,508,573,672
Os01g0144800,66,35,31,35
Os01g0144900,142,113,190,201
Os01g0145000,33,28,45,67
Os01g0145200,92,83,101,170
